Question Number,Question,Good Answer,False Answer 1,False Answer 2,False Answer 3,Answer Explanation
1,"Question 1: If all birds can fly, and sparrows are birds, which of the following must be true?",Sparrows can fly.,Some birds cannot fly.,All sparrows can swim.,All birds are sparrows.,"Valid syllogism: sparrows are birds, all birds fly → sparrows fly"
2,"Question 2: A new study finds that cities with more public parks have lower crime rates. Which of the following, if true, most weakens the conclusion that building more parks reduces crime?",Cities with more parks also have higher employment rates.,Crime rates are higher in cities with fewer green spaces.,Some parks are located in unsafe areas.,Parks provide places for people to gather.,High employment could explain lower crime independently of parks
3,"Question 3: If no dogs are cats and all cats are mammals, which of the following must be true?",No dogs are cats.,All dogs are cats.,Some mammals are dogs.,No cats are mammals.,Given: No dogs are cats; all cats are mammals
4,Question 4: Our company should switch to remote work because employees will be happier and productivity will increase. Which of the following is an assumption required by the argument?,Happiness and productivity are linked.,Employees dislike commuting.,Remote work always improves productivity.,Managers prefer working remotely.,Assumes happiness relates to productivity
5,"Question 5: All professional chefs are good cooks. James is a good cook. Therefore, James is a professional chef. Which of the following best describes the flaw?",It confuses necessary and sufficient conditions.,It assumes cause and effect are the same.,It assumes that all good cooks must be professional chefs.,It ignores other factors.,Good cook ≠ professional chef; mixes necessary & sufficient
6,"Question 6: A survey showed that people who drank coffee every day reported higher alertness. Therefore, drinking coffee every day causes higher alertness. Which of the following most weakens the conclusion?",People who are naturally alert are more likely to drink coffee.,Many people like the taste of coffee.,Alertness levels vary during the day.,Coffee drinking is a common habit.,Reverse causation: alert people choose coffee
7,Question 7: A movie reviewer writes: 'This movie is bad because it is terrible.' Which logical fallacy is present?,Circular reasoning,False cause,Ad hominem,False dilemma,Circular definition of bad = terrible
8,"Question 8: Which one of the following statements is logically equivalent to 'If it snows, then school will close'?","If school does not close, then it did not snow.",School closes if and only if it snows.,"If school closes, it snowed.",Snow is the only reason for school to close.,Contrapositive is logically equivalent
9,Question 9: A politician argues: 'We should not increase taxes because higher taxes are bad.' Which flaw is present in this argument?,It assumes the conclusion in its premise.,It appeals to authority.,It attacks the person instead of the issue.,It draws a false analogy.,Assumes premise equals conclusion
10,"Question 10: Some athletes are musicians. All musicians are creative. Therefore, some athletes are creative. Which of the following describes the reasoning?","Valid, because at least some athletes who are musicians are creative.","Invalid, because not all athletes are musicians.",Valid only if all athletes are musicians.,"Invalid, because creativity is unrelated to athletics.",Valid reasoning: some athletes are musicians → those athletes are creative
